2018rank,City,State,2018estimate,2010Census,Change,2016 land area (sq mi),2016 land area (km2),2016 population density (/sq mi),2016 population density (/km2),Location,Longitude,Latitude,wiki_link,official_website
1,New York City,New York,8398748,8175133,+2.74%,301.5,780.9 ,28317,10933,﻿40.6635°N 73.9387°W,40°39′49″N,73°56′19″W﻿,https://en.wikipedia.org/wiki/New_York_City,https://www.nyc.gov/
2,Los Angeles,California,3990456,3792621,+5.22%,468.7,"1,213.9 ",8484,3276,﻿34.0194°N 118.4108°W,34°01′10″N,118°24′39″W﻿,https://en.wikipedia.org/wiki/Los_Angeles,https://www.lacity.org/
3,Chicago,Illinois,2705994,2695598,+0.39%,227.3,588.7 ,11900,4600,﻿41.8376°N 87.6818°W,41°50′15″N,87°40′54″W﻿,https://en.wikipedia.org/wiki/Chicago,http://www.cityofchicago.org
4,Houston,Texas,2325502,2100263,+10.72%,637.5,"1,651.1 ",3613,1395,﻿29.7866°N 95.3909°W,29°47′12″N,95°23′27″W﻿,https://en.wikipedia.org/wiki/Houston,http://www.houstontx.gov/
5,Phoenix,Arizona,1660272,1445632,+14.85%,517.6,"1,340.6 ",3120,1200,﻿33.5722°N 112.0901°W,33°34′20″N,112°05′24″W﻿,"https://en.wikipedia.org/wiki/Phoenix,_Arizona",http://www.phoenix.gov
6,Philadelphia,Pennsylvania,1584138,1526006,+3.81%,134.2,347.6 ,11683,4511,﻿40.0094°N 75.1333°W,40°00′34″N,75°08′00″W﻿,https://en.wikipedia.org/wiki/Philadelphia,http://www.phila.gov/
7,San Antonio,Texas,1532233,1327407,+15.43%,461.0,"1,194.0 ",3238,1250,﻿29.4724°N 98.5251°W,29°28′21″N,98°31′30″W﻿,https://en.wikipedia.org/wiki/San_Antonio,http://www.sanantonio.gov/
8,San Diego,California,1425976,1307402,+9.07%,325.2,842.3 ,4325,1670,﻿32.8153°N 117.1350°W,32°48′55″N,117°08′06″W﻿,https://en.wikipedia.org/wiki/San_Diego,http://www.sandiego.gov/
9,Dallas,Texas,1345047,1197816,+12.29%,340.9,882.9 ,3866,1493,﻿32.7933°N 96.7665°W,32°47′36″N,96°45′59″W﻿,https://en.wikipedia.org/wiki/Dallas,http://www.dallascityhall.com/
10,San Jose,California,1030119,945942,+8.90%,177.5,459.7 ,5777,2231,﻿37.2967°N 121.8189°W,37°17′48″N,121°49′08″W﻿,"https://en.wikipedia.org/wiki/San_Jose,_California",http://www.sanjoseca.gov/
11,Austin,Texas,964254,790390,+22.00%,312.7,809.9 ,3031,1170,﻿30.3039°N 97.7544°W,30°18′14″N,97°45′16″W﻿,"https://en.wikipedia.org/wiki/Austin,_Texas",http://www.austintexas.gov
12,Jacksonville,Florida,903889,821784,+9.99%,747.4,"1,935.8 ",1178,455,﻿30.3369°N 81.6616°W,30°20′13″N,81°39′42″W﻿,"https://en.wikipedia.org/wiki/Jacksonville,_Florida",http://www.coj.net
13,Fort Worth,Texas,895008,741206,+20.75%,342.9,888.1 ,2491,962,﻿32.7815°N 97.3467°W,32°46′53″N,97°20′48″W﻿,"https://en.wikipedia.org/wiki/Fort_Worth,_Texas",http://www.fortworthtexas.gov/
14,Columbus,Ohio,892533,787033,+13.40%,218.5,565.9 ,3936,1520,﻿39.9852°N 82.9848°W,39°59′07″N,82°59′05″W﻿,"https://en.wikipedia.org/wiki/Columbus,_Georgia",http://www.columbusga.gov/
15,San Francisco,California,883305,805235,+9.70%,46.9,121.5 ,18569,7170,﻿37.7272°N 123.0322°W,37°43′38″N,123°01′56″W﻿,https://en.wikipedia.org/wiki/San_Francisco,http://sf.gov/
16,Charlotte,North Carolina,872498,731424,+19.29%,305.4,791.0 ,2757,1064,﻿35.2078°N 80.8310°W,35°12′28″N,80°49′52″W﻿,"https://en.wikipedia.org/wiki/Charlotte,_North_Carolina",http://charlottenc.gov
17,Indianapolis,Indiana,867125,820445,+5.69%,361.5,936.3 ,2366,914,﻿39.7767°N 86.1459°W,39°46′36″N,86°08′45″W﻿,https://en.wikipedia.org/wiki/Indianapolis,http://www.indy.gov
18,Seattle,Washington,744955,608660,+22.39%,83.8,217.0 ,8405,3245,﻿47.6205°N 122.3509°W,47°37′14″N,122°21′03″W﻿,https://en.wikipedia.org/wiki/Seattle,http://www.seattle.gov/
19,Denver,Colorado,716492,600158,+19.38%,153.3,397.0 ,4521,1746,﻿39.7619°N 104.8811°W,39°45′43″N,104°52′52″W﻿,https://en.wikipedia.org/wiki/Denver,http://www.denvergov.org/
20,"Washington, D.C.",District of Columbia,702455,601723,+16.74%,61.1,158.2 ,11148,4304,﻿38.9041°N 77.0172°W,38°54′15″N,77°01′02″W﻿,"https://en.wikipedia.org/wiki/Washington,_D.C.",http://dc.gov/
21,Boston,Massachusetts,694583,617594,+12.47%,48.3,125.1 ,13938,5381,﻿42.3320°N 71.0202°W,42°19′55″N,71°01′13″W﻿,https://en.wikipedia.org/wiki/Boston,https://www.boston.gov/
22,El Paso,Texas,682669,649121,+5.17%,256.8,665.1 ,2660,1030,﻿31.8484°N 106.4270°W,31°50′54″N,106°25′37″W﻿,"https://en.wikipedia.org/wiki/El_Paso,_Texas",http://www.elpasotexas.gov
